step,customer,age,gender,merchant,category,amount,fraud
16-07-2021,C1326593353,36to45,Male,M1823072687,Transportation,15.78,0
22-08-2021,C483912131,26to35,Female,M1198415165,Beauty&Wellness,608.32,1
03-06-2021,C1681589600,26to35,Female,M348934600,Transportation,43.76,0
01-07-2021,C1251749294,36to45,Female,M1823072687,Transportation,41.57,0
06-03-2021,C1705346216,36to45,Male,M348934600,Transportation,42.97,0
27-03-2021,C34676686,26to35,Male,M348934600,Transportation,32.61,0
18-03-2021,C760368405,36to45,Male,M980657600,Sports&Toys,410.67,1
16-07-2021,C1655037147,26to35,Female,M480139044,Health,16.45,1
13-05-2021,C1789457872,26to35,Female,M3697346,Leisure,300.62,1
23-07-2021,C477542874,26to35,Female,M85975013,Groceries,47.47,0
24-05-2021,C483912131,26to35,Female,M480139044,Health,390.48,1
29-04-2021,C763681944,26to35,Male,M1823072687,Transportation,30.61,0
20-06-2021,C413455659,26to35,Female,M1823072687,Transportation,67.28,0
08-03-2021,C1293579037,26to35,Female,M348934600,Transportation,5.54,0
17-07-2021,C1453917071,56to65,Female,M2011752106,HotelServices,760.26,1
08-03-2021,C1499701993,36to45,Male,M547558035,Fashion,135.04,0
10-08-2021,C367052603,26to35,Female,M348934600,Transportation,41.46,0
19-03-2021,C126603077,19to25,Female,M1823072687,Transportation,27.39,0
29-06-2021,C1620825260,36to45,Female,M1823072687,Transportation,5.52,0
31-05-2021,C449179311,26to35,Male,M480139044,Health,423.02,1
02-04-2021,C33256704,46to55,Female,M348934600,Transportation,51.26,0
09-03-2021,C1740393527,26to35,Female,M855959430,Transportation,45.62,0
23-05-2021,C480961011,36to45,Male,M1823072687,Transportation,69.37,0
02-08-2021,C1089848865,36to45,Female,M1823072687,Transportation,47.41,0
21-03-2021,C1978250683,36to45,Female,M480139044,Health,119.15,1
20-06-2021,C1825950751,46to55,Female,M1823072687,Transportation,9.27,0
05-08-2021,C911364935,36to45,Male,M1823072687,Transportation,33.31,0
23-03-2021,C1059874896,26to35,Male,M348934600,Transportation,22.6,0
16-03-2021,C1356412685,56to65,Male,M348934600,Transportation,70,0
06-06-2021,C140648396,36to45,Female,M732195782,Travel,1242.08,1
07-07-2021,C1134994937,56to65,Male,M1823072687,Transportation,0.68,0
16-06-2021,C1732752834,36to45,Male,M1823072687,Transportation,18.34,0
21-04-2021,C1232523772,19to25,Male,M348934600,Transportation,34.42,0
02-08-2021,C1735920391,46to55,Female,M348934600,Transportation,33.3,0
12-06-2021,C731767226,gt65,Male,M1823072687,Transportation,20.41,0
12-06-2021,C1499241933,36to45,Female,M1198415165,Beauty&Wellness,297.6,1
11-06-2021,C1711218892,26to35,Male,M1823072687,Transportation,12.92,0
02-05-2021,C1994178184,46to55,Male,M1888755466,OtherServices,267.3,1
14-07-2021,C1419235351,46to55,Male,M1823072687,Transportation,23.49,0
30-05-2021,C1642006830,36to45,Female,M348934600,Transportation,68.31,0
15-05-2021,C658175205,36to45,Female,M1535107174,Beauty&Wellness,155.95,1
09-07-2021,C662015024,36to45,Male,M348934600,Transportation,49.83,0
16-05-2021,C1491844959,19to25,Female,M1823072687,Transportation,3.96,0
03-05-2021,C10745331,46to55,Female,M1823072687,Transportation,20.62,0
12-03-2021,C644590864,19to25,Male,M980657600,Sports&Toys,152.55,1
21-03-2021,C2029865097,46to55,Male,M1823072687,Transportation,21.44,0
09-07-2021,C1998442183,36to45,Female,M349281107,Fashion,143.62,0
08-04-2021,C1703648667,26to35,Female,M348934600,Transportation,49.78,0
18-08-2021,C947010068,46to55,Female,M1823072687,Transportation,11.58,0
07-08-2021,C1156188729,26to35,Female,M348934600,Transportation,11.37,0
22-03-2021,C2025967620,36to45,Female,M480139044,Health,249.43,1
10-08-2021,C1911281701,26to35,Male,M1823072687,Transportation,37.9,0
04-06-2021,C1394454342,19to25,Male,M1888755466,OtherServices,512.51,1
19-05-2021,C1729635847,56to65,Female,M348934600,Transportation,28.27,0
07-03-2021,C612005121,36to45,Female,M348934600,Transportation,27.82,0
28-06-2021,C1188590334,gt65,Female,M840466850,Technology,204.29,1
27-06-2021,C1949984685,26to35,Female,M1823072687,Transportation,14.84,0
05-08-2021,C2004941826,26to35,Female,M1198415165,Beauty&Wellness,188.92,1
14-07-2021,C808977147,26to35,Male,M1823072687,Transportation,1.14,0
23-06-2021,C806399525,26to35,Female,M980657600,Sports&Toys,166.08,1
23-04-2021,C1794686407,26to35,Female,M348934600,Transportation,21.18,0
